entry_z,exit_z,pnl
0.5,0.6,80314828.0
0.5,0.7000000000000001,66149675.0
0.5,0.8,78260654.0
0.5,0.9,78260654.0
0.5,1.0,78260654.0
0.5,1.1,78260654.0
0.65,0.7000000000000001,66149675.0
0.65,0.8,78260654.0
0.65,0.9,78260654.0
0.65,1.0,78260654.0
0.65,1.1,78260654.0
0.8,0.9,64445610.0
0.8,1.0,64445610.0
0.8,1.1,64445610.0
0.95,1.0,64445610.0
0.95,1.1,64445610.0
