,window,entry_z,exit_z,pnl
127,7,1.3,0.9,1424892.5
128,7,1.5,0.1,1042268.5
129,7,1.5,0.2142857142857143,1024504.0
130,7,1.5,0.3285714285714286,999812.0
131,7,1.5,0.44285714285714284,973536.5
132,7,1.5,0.5571428571428572,951012.5
133,7,1.5,0.6714285714285715,929548.5
134,7,1.5,0.7857142857142857,918685.0
135,7,1.5,0.9,908081.0
136,7,1.7000000000000002,0.1,790049.5
137,7,1.7000000000000002,0.2142857142857143,777842.5
138,7,1.7000000000000002,0.3285714285714286,757761.0
139,7,1.7000000000000002,0.44285714285714284,737989.5
140,7,1.7000000000000002,0.5571428571428572,720963.0
141,7,1.7000000000000002,0.6714285714285715,707332.0
142,7,1.7000000000000002,0.7857142857142857,701006.0
143,7,1.7000000000000002,0.9,697173.5
144,7,1.9000000000000001,0.1,486898.0
145,7,1.9000000000000001,0.2142857142857143,478261.0
146,7,1.9000000000000001,0.3285714285714286,465065.5
147,7,1.9000000000000001,0.44285714285714284,453767.5
148,7,1.9000000000000001,0.5571428571428572,444002.0
149,7,1.9000000000000001,0.6714285714285715,437546.0
150,7,1.9000000000000001,0.7857142857142857,435051.5
151,7,1.9000000000000001,0.9,433781.5
152,7,2.1,0.1,92326.0
153,7,2.1,0.2142857142857143,90008.5
154,7,2.1,0.3285714285714286,86455.0
155,7,2.1,0.44285714285714284,85203.0
156,7,2.1,0.5571428571428572,83736.0
157,7,2.1,0.6714285714285715,82397.0
158,7,2.1,0.7857142857142857,81422.0
159,7,2.1,0.9,81002.0
160,7,2.3,0.1,0.0
161,7,2.3,0.2142857142857143,0.0
162,7,2.3,0.3285714285714286,0.0
163,7,2.3,0.44285714285714284,0.0
164,7,2.3,0.5571428571428572,0.0
165,7,2.3,0.6714285714285715,0.0
166,7,2.3,0.7857142857142857,0.0
167,7,2.3,0.9,0.0
168,7,2.5,0.1,0.0
169,7,2.5,0.2142857142857143,0.0
170,7,2.5,0.3285714285714286,0.0
171,7,2.5,0.44285714285714284,0.0
172,7,2.5,0.5571428571428572,0.0
173,7,2.5,0.6714285714285715,0.0
174,7,2.5,0.7857142857142857,0.0
175,7,2.5,0.9,0.0
176,10,0.5,0.1,3047093.0
177,10,0.5,0.2142857142857143,3027569.0
178,10,0.5,0.3285714285714286,2991240.0
179,10,0.5,0.44285714285714284,2933775.5
180,10,0.5,0.5571428571428572,2867963.0
181,10,0.5,0.6714285714285715,2800024.5
182,10,0.5,0.7857142857142857,2740465.0
183,10,0.5,0.9,2684358.0
184,10,0.7,0.1,2803123.5
185,10,0.7,0.2142857142857143,2782732.5
186,10,0.7,0.3285714285714286,2748943.5
187,10,0.7,0.44285714285714284,2699589.5
188,10,0.7,0.5571428571428572,2651874.0
189,10,0.7,0.6714285714285715,2592452.5
190,10,0.7,0.7857142857142857,2532267.0
191,10,0.7,0.9,2479787.5
192,10,0.9,0.1,2468027.0
193,10,0.9,0.2142857142857143,2444177.0
194,10,0.9,0.3285714285714286,2413261.5
195,10,0.9,0.44285714285714284,2369010.0
196,10,0.9,0.5571428571428572,2326050.5
197,10,0.9,0.6714285714285715,2285185.0
198,10,0.9,0.7857142857142857,2241644.5
199,10,0.9,0.9,2195680.0
200,10,1.1,0.1,2103994.0
201,10,1.1,0.2142857142857143,2078788.5
202,10,1.1,0.3285714285714286,2049801.5
203,10,1.1,0.44285714285714284,2011930.5
204,10,1.1,0.5571428571428572,1974698.5
205,10,1.1,0.6714285714285715,1940874.5
206,10,1.1,0.7857142857142857,1908600.5
207,10,1.1,0.9,1884497.5
208,10,1.3,0.1,1743108.5
209,10,1.3,0.2142857142857143,1715254.0
210,10,1.3,0.3285714285714286,1687950.5
211,10,1.3,0.44285714285714284,1651941.5
212,10,1.3,0.5571428571428572,1619577.5
213,10,1.3,0.6714285714285715,1592007.0
214,10,1.3,0.7857142857142857,1567492.0
215,10,1.3,0.9,1549817.5
216,10,1.5,0.1,1341836.5
217,10,1.5,0.2142857142857143,1315939.0
218,10,1.5,0.3285714285714286,1292729.5
219,10,1.5,0.44285714285714284,1264144.0
220,10,1.5,0.5571428571428572,1238500.0
221,10,1.5,0.6714285714285715,1219545.5
222,10,1.5,0.7857142857142857,1202916.0
223,10,1.5,0.9,1192215.0
224,10,1.7000000000000002,0.1,829952.5
225,10,1.7000000000000002,0.2142857142857143,813393.0
226,10,1.7000000000000002,0.3285714285714286,801791.0
227,10,1.7000000000000002,0.44285714285714284,788475.0
228,10,1.7000000000000002,0.5571428571428572,771852.0
229,10,1.7000000000000002,0.6714285714285715,757745.0
230,10,1.7000000000000002,0.7857142857142857,747837.0
231,10,1.7000000000000002,0.9,741349.0
232,10,1.9000000000000001,0.1,403106.0
233,10,1.9000000000000001,0.2142857142857143,399813.0
234,10,1.9000000000000001,0.3285714285714286,395463.0
235,10,1.9000000000000001,0.44285714285714284,388133.5
236,10,1.9000000000000001,0.5571428571428572,377424.0
237,10,1.9000000000000001,0.6714285714285715,367170.5
238,10,1.9000000000000001,0.7857142857142857,361115.0
239,10,1.9000000000000001,0.9,357231.0
240,10,2.1,0.1,302403.5
241,10,2.1,0.2142857142857143,300793.5
242,10,2.1,0.3285714285714286,298285.5
243,10,2.1,0.44285714285714284,293173.5
244,10,2.1,0.5571428571428572,284687.5
245,10,2.1,0.6714285714285715,277992.0
246,10,2.1,0.7857142857142857,273543.5
247,10,2.1,0.9,271295.5
248,10,2.3,0.1,191490.0
249,10,2.3,0.2142857142857143,190276.0
250,10,2.3,0.3285714285714286,188176.5
251,10,2.3,0.44285714285714284,183939.0
252,10,2.3,0.5571428571428572,177810.0
253,10,2.3,0.6714285714285715,174777.5
254,10,2.3,0.7857142857142857,173496.5
255,10,2.3,0.9,172446.5
256,10,2.5,0.1,56315.0
257,10,2.5,0.2142857142857143,56036.0
258,10,2.5,0.3285714285714286,54976.5
259,10,2.5,0.44285714285714284,53135.0
260,10,2.5,0.5571428571428572,51621.5
261,10,2.5,0.6714285714285715,50557.0
262,10,2.5,0.7857142857142857,50094.0
263,10,2.5,0.9,50022.0
