,buy_z,sell_z,exit_z,pnl
158,0.7,1.1,0.4,374.0
159,0.7,1.1,0.5,444.0
160,0.7,1.1,0.6000000000000001,436.0
161,0.7,1.1,0.7000000000000001,440.5
162,0.7,1.1,0.8,497.5
163,0.7,1.1,0.9,537.0
164,0.7,1.1,1.0,371.0
165,0.7,1.3,0.0,193.5
166,0.7,1.3,0.1,439.5
167,0.7,1.3,0.2,503.5
168,0.7,1.3,0.30000000000000004,471.0
169,0.7,1.3,0.4,397.5
170,0.7,1.3,0.5,473.5
171,0.7,1.3,0.6000000000000001,474.5
172,0.7,1.3,0.7000000000000001,448.0
173,0.7,1.3,0.8,506.5
174,0.7,1.3,0.9,606.5
175,0.7,1.3,1.0,494.5
176,0.7,1.5,0.0,138.0
177,0.7,1.5,0.1,415.0
178,0.7,1.5,0.2,491.0
179,0.7,1.5,0.30000000000000004,458.5
180,0.7,1.5,0.4,385.0
181,0.7,1.5,0.5,465.5
182,0.7,1.5,0.6000000000000001,482.0
183,0.7,1.5,0.7000000000000001,399.0
184,0.7,1.5,0.8,502.5
185,0.7,1.5,0.9,584.0
186,0.7,1.5,1.0,499.0
187,0.7,1.7000000000000002,0.0,153.5
188,0.7,1.7000000000000002,0.1,427.0
189,0.7,1.7000000000000002,0.2,546.0
190,0.7,1.7000000000000002,0.30000000000000004,513.5
191,0.7,1.7000000000000002,0.4,440.0
192,0.7,1.7000000000000002,0.5,507.0
193,0.7,1.7000000000000002,0.6000000000000001,463.0
194,0.7,1.7000000000000002,0.7000000000000001,397.0
195,0.7,1.7000000000000002,0.8,405.5
196,0.7,1.7000000000000002,0.9,461.0
197,0.7,1.7000000000000002,1.0,402.0
198,0.7,1.9000000000000001,0.0,85.0
199,0.7,1.9000000000000001,0.1,406.0
200,0.7,1.9000000000000001,0.2,403.5
201,0.7,1.9000000000000001,0.30000000000000004,383.5
202,0.7,1.9000000000000001,0.4,317.0
203,0.7,1.9000000000000001,0.5,355.5
204,0.7,1.9000000000000001,0.6000000000000001,330.5
205,0.7,1.9000000000000001,0.7000000000000001,276.0
206,0.7,1.9000000000000001,0.8,300.0
207,0.7,1.9000000000000001,0.9,381.0
208,0.7,1.9000000000000001,1.0,372.5
209,0.7,2.1,0.0,-434.5
210,0.7,2.1,0.1,62.0
211,0.7,2.1,0.2,92.5
212,0.7,2.1,0.30000000000000004,74.0
213,0.7,2.1,0.4,41.5
214,0.7,2.1,0.5,35.5
215,0.7,2.1,0.6000000000000001,34.5
216,0.7,2.1,0.7000000000000001,32.5
217,0.7,2.1,0.8,64.0
218,0.7,2.1,0.9,166.5
219,0.7,2.1,1.0,58.5
220,0.7,2.3,0.0,-434.5
221,0.7,2.3,0.1,62.0
222,0.7,2.3,0.2,92.5
223,0.7,2.3,0.30000000000000004,74.0
224,0.7,2.3,0.4,41.5
225,0.7,2.3,0.5,35.5
226,0.7,2.3,0.6000000000000001,34.5
227,0.7,2.3,0.7000000000000001,32.5
228,0.7,2.3,0.8,64.0
229,0.7,2.3,0.9,166.5
230,0.7,2.3,1.0,58.5
231,0.7,2.5,0.0,-434.5
232,0.7,2.5,0.1,62.0
233,0.7,2.5,0.2,92.5
234,0.7,2.5,0.30000000000000004,74.0
235,0.7,2.5,0.4,41.5
236,0.7,2.5,0.5,35.5
237,0.7,2.5,0.6000000000000001,34.5
238,0.7,2.5,0.7000000000000001,32.5
239,0.7,2.5,0.8,64.0
240,0.7,2.5,0.9,166.5
241,0.7,2.5,1.0,58.5
242,0.9,0.5,0.0,603.0
243,0.9,0.5,0.1,397.0
244,0.9,0.5,0.2,502.5
245,0.9,0.5,0.30000000000000004,570.0
246,0.9,0.5,0.4,645.0
247,0.9,0.5,0.5,533.5
248,0.9,0.5,0.6000000000000001,729.0
249,0.9,0.5,0.7000000000000001,699.0
250,0.9,0.5,0.8,799.5
251,0.9,0.5,0.9,951.0
252,0.9,0.5,1.0,897.0
253,0.9,0.7,0.0,235.5
254,0.9,0.7,0.1,535.0
255,0.9,0.7,0.2,564.0
256,0.9,0.7,0.30000000000000004,504.0
257,0.9,0.7,0.4,442.5
258,0.9,0.7,0.5,491.0
259,0.9,0.7,0.6000000000000001,633.0
260,0.9,0.7,0.7000000000000001,606.5
261,0.9,0.7,0.8,699.0
262,0.9,0.7,0.9,799.5
263,0.9,0.7,1.0,774.0
264,0.9,0.9,0.0,629.0
265,0.9,0.9,0.1,580.0
266,0.9,0.9,0.2,539.5
267,0.9,0.9,0.30000000000000004,470.0
268,0.9,0.9,0.4,366.5
269,0.9,0.9,0.5,410.0
270,0.9,0.9,0.6000000000000001,439.0
271,0.9,0.9,0.7000000000000001,396.5
272,0.9,0.9,0.8,487.0
273,0.9,0.9,0.9,644.5
274,0.9,0.9,1.0,749.5
275,0.9,1.1,0.0,260.0
276,0.9,1.1,0.1,421.5
277,0.9,1.1,0.2,399.0
278,0.9,1.1,0.30000000000000004,379.5
279,0.9,1.1,0.4,322.5
280,0.9,1.1,0.5,377.0
281,0.9,1.1,0.6000000000000001,415.5
282,0.9,1.1,0.7000000000000001,429.5
283,0.9,1.1,0.8,511.0
284,0.9,1.1,0.9,553.0
285,0.9,1.1,1.0,548.0
286,0.9,1.3,0.0,259.5
287,0.9,1.3,0.1,430.5
288,0.9,1.3,0.2,422.5
289,0.9,1.3,0.30000000000000004,403.0
290,0.9,1.3,0.4,346.0
291,0.9,1.3,0.5,406.5
292,0.9,1.3,0.6000000000000001,454.0
293,0.9,1.3,0.7000000000000001,437.0
294,0.9,1.3,0.8,520.0
295,0.9,1.3,0.9,622.5
296,0.9,1.3,1.0,671.5
297,0.9,1.5,0.0,204.0
298,0.9,1.5,0.1,406.0
299,0.9,1.5,0.2,410.0
300,0.9,1.5,0.30000000000000004,390.5
301,0.9,1.5,0.4,333.5
302,0.9,1.5,0.5,398.5
303,0.9,1.5,0.6000000000000001,461.5
304,0.9,1.5,0.7000000000000001,388.0
305,0.9,1.5,0.8,516.0
306,0.9,1.5,0.9,600.0
307,0.9,1.5,1.0,676.0
308,0.9,1.7000000000000002,0.0,219.5
309,0.9,1.7000000000000002,0.1,418.0
310,0.9,1.7000000000000002,0.2,465.0
311,0.9,1.7000000000000002,0.30000000000000004,445.5
312,0.9,1.7000000000000002,0.4,388.5
313,0.9,1.7000000000000002,0.5,440.0
314,0.9,1.7000000000000002,0.6000000000000001,442.5
315,0.9,1.7000000000000002,0.7000000000000001,386.0
316,0.9,1.7000000000000002,0.8,419.0
317,0.9,1.7000000000000002,0.9,477.0
318,0.9,1.7000000000000002,1.0,579.0
319,0.9,1.9000000000000001,0.0,151.0
320,0.9,1.9000000000000001,0.1,397.0
321,0.9,1.9000000000000001,0.2,322.5
322,0.9,1.9000000000000001,0.30000000000000004,315.5
323,0.9,1.9000000000000001,0.4,265.5
324,0.9,1.9000000000000001,0.5,288.5
325,0.9,1.9000000000000001,0.6000000000000001,310.0
326,0.9,1.9000000000000001,0.7000000000000001,265.0
327,0.9,1.9000000000000001,0.8,313.5
328,0.9,1.9000000000000001,0.9,397.0
329,0.9,1.9000000000000001,1.0,549.5
330,0.9,2.1,0.0,-424.0
331,0.9,2.1,0.1,53.0
332,0.9,2.1,0.2,11.5
333,0.9,2.1,0.30000000000000004,6.0
334,0.9,2.1,0.4,-10.0
335,0.9,2.1,0.5,-31.5
336,0.9,2.1,0.6000000000000001,14.0
337,0.9,2.1,0.7000000000000001,21.5
338,0.9,2.1,0.8,77.5
339,0.9,2.1,0.9,182.5
340,0.9,2.1,1.0,235.5
341,0.9,2.3,0.0,-424.0
342,0.9,2.3,0.1,53.0
343,0.9,2.3,0.2,11.5
344,0.9,2.3,0.30000000000000004,6.0
345,0.9,2.3,0.4,-10.0
346,0.9,2.3,0.5,-31.5
347,0.9,2.3,0.6000000000000001,14.0
348,0.9,2.3,0.7000000000000001,21.5
349,0.9,2.3,0.8,77.5
350,0.9,2.3,0.9,182.5
351,0.9,2.3,1.0,235.5
352,0.9,2.5,0.0,-424.0
353,0.9,2.5,0.1,53.0
354,0.9,2.5,0.2,11.5
355,0.9,2.5,0.30000000000000004,6.0
356,0.9,2.5,0.4,-10.0
357,0.9,2.5,0.5,-31.5
358,0.9,2.5,0.6000000000000001,14.0
