buy_z,sell_z,pnl
1.4,1.9000000000000001,359.0
1.4,2.0,-379.0
1.4,2.1,-379.0
1.4,2.2,-379.0
1.4,2.3,-379.0
1.4,2.4000000000000004,-379.0
1.4,2.5,-379.0
1.5,0.5,825.0
1.5,0.6,793.0
1.5,0.7,501.5
1.5,0.8,562.0
1.5,0.9,895.0
1.5,1.0,554.5
1.5,1.1,491.0
1.5,1.2000000000000002,503.0
1.5,1.3,490.5
1.5,1.4,554.0
1.5,1.5,435.0
1.5,1.6,448.0
1.5,1.7000000000000002,450.5
1.5,1.8,387.0
1.5,1.9000000000000001,382.0
1.5,2.0,-373.0
1.5,2.1,-373.0
1.5,2.2,-373.0
1.5,2.3,-373.0
1.5,2.4000000000000004,-373.0
1.5,2.5,-373.0
1.6,0.5,879.0
1.6,0.6,847.0
1.6,0.7,555.5
1.6,0.8,616.0
1.6,0.9,949.0
1.6,1.0,608.5
1.6,1.1,545.0
1.6,1.2000000000000002,557.0
1.6,1.3,544.5
1.6,1.4,608.0
1.6,1.5,489.0
1.6,1.6,502.0
1.6,1.7000000000000002,504.5
1.6,1.8,441.0
1.6,1.9000000000000001,436.0
1.6,2.0,-366.5
1.6,2.1,-366.5
1.6,2.2,-366.5
1.6,2.3,-366.5
1.6,2.4000000000000004,-366.5
1.6,2.5,-366.5
1.7000000000000002,0.5,787.5
1.7000000000000002,0.6,755.5
1.7000000000000002,0.7,464.0
1.7000000000000002,0.8,524.5
1.7000000000000002,0.9,857.5
1.7000000000000002,1.0,517.0
1.7000000000000002,1.1,453.5
1.7000000000000002,1.2000000000000002,465.5
1.7000000000000002,1.3,453.0
1.7000000000000002,1.4,516.5
1.7000000000000002,1.5,397.5
1.7000000000000002,1.6,410.5
1.7000000000000002,1.7000000000000002,413.0
1.7000000000000002,1.8,349.5
1.7000000000000002,1.9000000000000001,344.5
1.7000000000000002,2.0,-414.5
1.7000000000000002,2.1,-414.5
1.7000000000000002,2.2,-414.5
1.7000000000000002,2.3,-414.5
1.7000000000000002,2.4000000000000004,-414.5
1.7000000000000002,2.5,-414.5
1.8,0.5,802.0
1.8,0.6,770.0
1.8,0.7,478.5
1.8,0.8,539.0
1.8,0.9,872.0
1.8,1.0,531.5
1.8,1.1,468.0
1.8,1.2000000000000002,480.0
1.8,1.3,467.5
1.8,1.4,531.0
1.8,1.5,412.0
1.8,1.6,425.0
1.8,1.7000000000000002,427.5
1.8,1.8,364.0
1.8,1.9000000000000001,359.0
1.8,2.0,-408.5
1.8,2.1,-408.5
1.8,2.2,-408.5
1.8,2.3,-408.5
1.8,2.4000000000000004,-408.5
1.8,2.5,-408.5
1.9000000000000001,0.5,825.0
1.9000000000000001,0.6,793.0
1.9000000000000001,0.7,501.5
1.9000000000000001,0.8,562.0
1.9000000000000001,0.9,895.0
1.9000000000000001,1.0,554.5
1.9000000000000001,1.1,491.0
1.9000000000000001,1.2000000000000002,503.0
1.9000000000000001,1.3,490.5
1.9000000000000001,1.4,554.0
1.9000000000000001,1.5,435.0
1.9000000000000001,1.6,448.0
1.9000000000000001,1.7000000000000002,450.5
1.9000000000000001,1.8,387.0
1.9000000000000001,1.9000000000000001,382.0
1.9000000000000001,2.0,-399.0
1.9000000000000001,2.1,-399.0
1.9000000000000001,2.2,-399.0
1.9000000000000001,2.3,-399.0
1.9000000000000001,2.4000000000000004,-399.0
1.9000000000000001,2.5,-399.0
2.0,0.5,900.5
2.0,0.6,868.5
2.0,0.7,577.0
2.0,0.8,637.5
2.0,0.9,970.5
2.0,1.0,630.0
2.0,1.1,566.5
2.0,1.2000000000000002,578.5
2.0,1.3,566.0
2.0,1.4,629.5
2.0,1.5,510.5
2.0,1.6,523.5
2.0,1.7000000000000002,526.0
2.0,1.8,462.5
2.0,1.9000000000000001,457.5
2.0,2.0,-369.0
2.0,2.1,-369.0
2.0,2.2,-369.0
2.0,2.3,-369.0
2.0,2.4000000000000004,-369.0
2.0,2.5,-369.0
2.1,0.5,924.0
2.1,0.6,892.0
2.1,0.7,600.5
2.1,0.8,661.0
2.1,0.9,994.0
2.1,1.0,653.5
2.1,1.1,590.0
2.1,1.2000000000000002,602.0
2.1,1.3,589.5
2.1,1.4,653.0
2.1,1.5,534.0
2.1,1.6,547.0
2.1,1.7000000000000002,549.5
2.1,1.8,486.0
2.1,1.9000000000000001,481.0
2.1,2.0,-364.5
2.1,2.1,-364.5
2.1,2.2,-364.5
2.1,2.3,-364.5
2.1,2.4000000000000004,-364.5
2.1,2.5,-364.5
2.2,0.5,981.0
2.2,0.6,949.0
2.2,0.7,657.5
2.2,0.8,718.0
2.2,0.9,1051.0
2.2,1.0,710.5
2.2,1.1,647.0
2.2,1.2000000000000002,659.0
2.2,1.3,646.5
2.2,1.4,710.0
2.2,1.5,591.0
2.2,1.6,604.0
2.2,1.7000000000000002,606.5
2.2,1.8,543.0
2.2,1.9000000000000001,538.0
2.2,2.0,-360.0
2.2,2.1,-360.0
2.2,2.2,-360.0
2.2,2.3,-360.0
2.2,2.4000000000000004,-360.0
2.2,2.5,-360.0
2.3,0.5,593.5
2.3,0.6,565.5
2.3,0.7,307.0
2.3,0.8,380.0
2.3,0.9,514.0
2.3,1.0,544.0
2.3,1.1,480.5
2.3,1.2000000000000002,492.5
2.3,1.3,480.0
2.3,1.4,543.5
2.3,1.5,424.5
2.3,1.6,437.5
2.3,1.7000000000000002,440.0
2.3,1.8,376.5
2.3,1.9000000000000001,371.5
2.3,2.0,-323.0
2.3,2.1,-323.0
2.3,2.2,-323.0
2.3,2.3,-323.0
2.3,2.4000000000000004,-323.0
2.3,2.5,-323.0
2.4000000000000004,0.5,601.5
2.4000000000000004,0.6,573.5
2.4000000000000004,0.7,315.0
2.4000000000000004,0.8,388.0
2.4000000000000004,0.9,522.0
2.4000000000000004,1.0,552.0
2.4000000000000004,1.1,488.5
2.4000000000000004,1.2000000000000002,500.5
2.4000000000000004,1.3,488.0
2.4000000000000004,1.4,551.5
2.4000000000000004,1.5,432.5
2.4000000000000004,1.6,445.5
2.4000000000000004,1.7000000000000002,448.0
2.4000000000000004,1.8,384.5
2.4000000000000004,1.9000000000000001,379.5
2.4000000000000004,2.0,-321.5
2.4000000000000004,2.1,-321.5
2.4000000000000004,2.2,-321.5
2.4000000000000004,2.3,-321.5
2.4000000000000004,2.4000000000000004,-321.5
2.4000000000000004,2.5,-321.5
2.5,0.5,636.0
2.5,0.6,608.0
2.5,0.7,349.5
2.5,0.8,422.5
2.5,0.9,556.5
2.5,1.0,586.5
2.5,1.1,523.0
2.5,1.2000000000000002,535.0
2.5,1.3,522.5
2.5,1.4,586.0
2.5,1.5,467.0
2.5,1.6,480.0
2.5,1.7000000000000002,482.5
2.5,1.8,419.0
2.5,1.9000000000000001,414.0
2.5,2.0,-314.5
2.5,2.1,-314.5
2.5,2.2,-314.5
2.5,2.3,-314.5
2.5,2.4000000000000004,-314.5
2.5,2.5,-314.5
