buy_z,sell_z,exit_z,pnl,sharpe
0.4,0.5,0.05,2870.0,0.12783868795072834
0.4,0.5,0.1,3210.0,0.14423337391471397
0.4,0.5,0.15000000000000002,3450.0,0.15793371716829246
0.4,0.5,0.2,3430.0,0.1585764782828614
0.4,0.5,0.25,3700.0,0.17407423523897636
0.4,0.5,0.3,3440.0,0.1641848554601253
0.4,0.5,0.35000000000000003,3130.0,0.1508949511131054
0.4,0.5,0.4,2980.0,0.14489285318335257
0.4,0.6000000000000001,0.05,3120.0,0.13983835638686823
0.4,0.6000000000000001,0.1,3300.0,0.14901908388842774
0.4,0.6000000000000001,0.15000000000000002,3590.0,0.1653236748663052
0.4,0.6000000000000001,0.2,3660.0,0.17025614836293257
0.4,0.6000000000000001,0.25,4120.0,0.19525686519288907
0.4,0.6000000000000001,0.3,3880.0,0.18654356812382847
0.4,0.6000000000000001,0.35000000000000003,3490.0,0.16969496662087374
0.4,0.6000000000000001,0.4,3290.0,0.16147605784590652
0.4,0.7000000000000001,0.05,3520.0,0.16160481501332746
0.4,0.7000000000000001,0.1,3390.0,0.1564168795539717
0.4,0.7000000000000001,0.15000000000000002,3440.0,0.16148788843601516
0.4,0.7000000000000001,0.2,3330.0,0.15741128673700164
0.4,0.7000000000000001,0.25,3500.0,0.1692431100698929
0.4,0.7000000000000001,0.3,3400.0,0.16613161541007052
0.4,0.7000000000000001,0.35000000000000003,3120.0,0.15351720155407172
0.4,0.7000000000000001,0.4,3080.0,0.15257691651478988
0.4,0.8,0.05,3620.0,0.16750012181043364
0.4,0.8,0.1,3490.0,0.16230751367763688
0.4,0.8,0.15000000000000002,3540.0,0.16754656808507648
0.4,0.8,0.2,3430.0,0.1634882144362396
0.4,0.8,0.25,3360.0,0.16367065039216952
0.4,0.8,0.3,3300.0,0.1624216835965083
0.4,0.8,0.35000000000000003,3040.0,0.15067887671569766
0.4,0.8,0.4,3040.0,0.15169377299830689
0.4,0.9,0.05,3900.0,0.18076187566373225
0.4,0.9,0.1,3770.0,0.17562956045506647
0.4,0.9,0.15000000000000002,3820.0,0.18111955383713527
0.4,0.9,0.2,3710.0,0.17715228753761042
0.4,0.9,0.25,3640.0,0.17764300072090572
