,buy_z,sell_z,max_z,pnl
0,0.1,0.1,1.5,357604550.5
1,0.1,0.2,1.5,356989900.5
2,0.2,0.1,1.5,356400641.5
3,0.2,0.2,1.5,355793991.5
4,0.1,0.30000000000000004,1.5,355282383.5
5,0.2,0.30000000000000004,1.5,354105852.5
6,0.30000000000000004,0.1,1.5,353834583.5
7,0.30000000000000004,0.2,1.5,353232459.5
8,0.30000000000000004,0.30000000000000004,1.5,351582750.5
9,0.1,0.4,1.5,350878617.5
10,0.2,0.4,1.5,349919987.5
11,0.30000000000000004,0.4,1.5,347610453.5
12,0.4,0.1,1.5,347107934.5
13,0.4,0.2,1.5,346490147.5
14,0.4,0.30000000000000004,1.5,344908875.5
15,0.1,0.5,1.5,342544341.5
16,0.2,0.5,1.5,342109416.5
17,0.4,0.4,1.5,341348702.5
18,0.5,0.1,1.5,340184475.5
19,0.30000000000000004,0.5,1.5,340119076.5
20,0.5,0.2,1.5,339580196.5
21,0.5,0.30000000000000004,1.5,338062606.5
22,0.5,0.4,1.5,334864569.5
23,0.6,0.1,1.5,334409482.5
24,0.4,0.5,1.5,334301647.5
25,0.6,0.2,1.5,333827555.5
26,0.1,0.6,1.5,333620143.5
27,0.2,0.6,1.5,333587831.5
28,0.6,0.30000000000000004,1.5,332323544.5
29,0.30000000000000004,0.6,1.5,332034671.5
30,0.7000000000000001,0.1,1.5,329389836.5
31,0.6,0.4,1.5,329303168.5
32,0.7000000000000001,0.2,1.5,328770608.5
33,0.5,0.5,1.5,328133929.5
34,0.7000000000000001,0.30000000000000004,1.5,327445337.5
35,0.4,0.6,1.5,326703650.5
36,0.7000000000000001,0.4,1.5,324800552.5
37,0.6,0.5,1.5,323083272.5
38,0.8,0.1,1.5,321410123.5
39,0.5,0.6,1.5,321109216.5
40,0.8,0.2,1.5,320804562.5
41,0.8,0.30000000000000004,1.5,319750610.5
42,0.7000000000000001,0.5,1.5,319609410.5
43,0.1,0.7000000000000001,1.5,319443034.0
44,0.2,0.7000000000000001,1.5,319405375.0
45,0.30000000000000004,0.7000000000000001,1.5,318151514.0
46,0.8,0.4,1.5,317651311.5
47,0.6,0.6,1.5,316584701.5
48,0.4,0.7000000000000001,1.5,313952447.0
49,0.7000000000000001,0.6,1.5,313724546.5
50,0.8,0.5,1.5,313640314.5
51,0.5,0.7000000000000001,1.5,309722507.0
52,0.9,0.1,1.5,308555365.5
53,0.8,0.6,1.5,308384907.5
54,0.9,0.2,1.5,308131289.5
55,0.9,0.30000000000000004,1.5,307473582.5
56,0.1,0.8,1.5,306765351.0
57,0.2,0.8,1.5,306711542.0
58,0.9,0.4,1.5,305947032.5
59,0.30000000000000004,0.8,1.5,305578305.0
60,0.6,0.7000000000000001,1.5,305559767.0
61,0.9,0.5,1.5,303679090.5
62,0.7000000000000001,0.7000000000000001,1.5,303051979.0
63,0.4,0.8,1.5,302084533.0
64,0.1,0.1,2.0,300853944.0
65,0.1,0.2,2.0,300526759.0
66,0.2,0.1,2.0,300116047.0
67,0.9,0.6,1.5,299850236.5
68,0.2,0.2,2.0,299794843.0
69,0.1,0.30000000000000004,2.0,299371884.0
70,0.5,0.8,1.5,298678118.0
71,0.2,0.30000000000000004,2.0,298654409.0
72,0.30000000000000004,0.1,2.0,298413694.0
73,0.8,0.7000000000000001,1.5,298332697.0
74,0.30000000000000004,0.2,2.0,298095853.0
75,0.30000000000000004,0.30000000000000004,2.0,296984284.0
76,0.1,0.4,2.0,296202466.0
77,1.0,0.1,1.5,295985992.5
78,1.0,0.30000000000000004,1.5,295811260.5
79,1.0,0.2,1.5,295737955.5
80,0.2,0.4,2.0,295646872.0
81,0.6,0.8,1.5,295192970.0
82,1.0,0.4,1.5,294564523.5
83,0.30000000000000004,0.4,2.0,294135344.0
84,0.4,0.1,2.0,293512836.0
85,0.4,0.2,2.0,293183544.0
