buy_z,sell_z,pnl
0.5,0.5,1666.5
0.5,0.6,1593.0
0.5,0.7,1722.0
0.5,0.8,1649.5
0.5,0.9,1623.0
0.5,1.0,1774.5
0.5,1.1,1468.5
0.5,1.2000000000000002,1544.0
0.5,1.3,1564.5
0.5,1.4,1498.0
0.5,1.5,1572.5
0.5,1.6,1599.0
0.5,1.7000000000000002,1617.0
0.5,1.8,1011.5
0.5,1.9000000000000001,845.5
0.5,2.0,996.5
0.5,2.1,86.5
0.5,2.2,-78.5
0.5,2.3,-51.5
0.5,2.4000000000000004,-570.5
0.5,2.5,-570.5
0.6,0.5,1860.0
0.6,0.6,1598.0
0.6,0.7,1727.0
0.6,0.8,1680.0
0.6,0.9,1678.5
0.6,1.0,1830.0
0.6,1.1,1520.0
0.6,1.2000000000000002,1595.5
0.6,1.3,1616.0
0.6,1.4,1549.5
0.6,1.5,1624.0
0.6,1.6,1650.5
0.6,1.7000000000000002,1668.5
0.6,1.8,1049.5
0.6,1.9000000000000001,870.5
0.6,2.0,1021.5
0.6,2.1,90.0
0.6,2.2,-75.0
0.6,2.3,-48.0
0.6,2.4000000000000004,-573.5
0.6,2.5,-573.5
0.7,0.5,1885.0
0.7,0.6,1594.0
0.7,0.7,1723.0
0.7,0.8,1668.0
0.7,0.9,1659.5
0.7,1.0,1811.0
0.7,1.1,1478.0
0.7,1.2000000000000002,1553.5
0.7,1.3,1574.0
0.7,1.4,1507.5
0.7,1.5,1582.0
0.7,1.6,1608.5
0.7,1.7000000000000002,1626.5
0.7,1.8,1006.0
0.7,1.9000000000000001,825.0
0.7,2.0,976.0
0.7,2.1,37.5
0.7,2.2,-127.5
0.7,2.3,-100.5
0.7,2.4000000000000004,-561.0
0.7,2.5,-561.0
0.8,0.5,1709.0
0.8,0.6,1626.5
0.8,0.7,1712.5
0.8,0.8,1827.5
0.8,0.9,1888.0
0.8,1.0,2039.5
0.8,1.1,1690.5
0.8,1.2000000000000002,1766.0
0.8,1.3,1786.5
0.8,1.4,1720.0
0.8,1.5,1794.5
0.8,1.6,1821.0
0.8,1.7000000000000002,1839.0
0.8,1.8,1166.5
0.8,1.9000000000000001,930.5
0.8,2.0,1081.5
0.8,2.1,50.0
0.8,2.2,-115.0
0.8,2.3,-88.0
0.8,2.4000000000000004,-558.5
0.8,2.5,-558.5
0.9,0.5,1693.5
0.9,0.6,1628.5
0.9,0.7,1715.0
0.9,0.8,1750.5
0.9,0.9,1754.0
0.9,1.0,1870.0
0.9,1.1,1496.0
0.9,1.2000000000000002,1568.5
0.9,1.3,1571.5
0.9,1.4,1491.0
0.9,1.5,1546.5
0.9,1.6,1578.0
0.9,1.7000000000000002,1592.5
0.9,1.8,1407.0
0.9,1.9000000000000001,1163.0
0.9,2.0,1314.0
0.9,2.1,94.5
0.9,2.2,-70.5
0.9,2.3,-43.5
0.9,2.4000000000000004,-531.0
0.9,2.5,-531.0
1.0,0.5,1306.5
1.0,0.6,1250.0
1.0,0.7,1316.5
1.0,0.8,1386.5
1.0,0.9,1453.0
1.0,1.0,1564.0
1.0,1.1,1198.0
1.0,1.2000000000000002,1278.0
1.0,1.3,1281.0
1.0,1.4,1199.0
1.0,1.5,1253.5
1.0,1.6,1268.0
1.0,1.7000000000000002,1293.5
1.0,1.8,1095.5
1.0,1.9000000000000001,1024.0
1.0,2.0,1169.0
1.0,2.1,-80.0
1.0,2.2,-237.5
1.0,2.3,-220.5
1.0,2.4000000000000004,-481.0
1.0,2.5,-481.0
1.1,0.5,1252.5
1.1,0.6,1130.0
1.1,0.7,1196.5
1.1,0.8,1266.5
1.1,0.9,1333.0
1.1,1.0,1444.0
1.1,1.1,1059.0
1.1,1.2000000000000002,1139.0
1.1,1.3,1142.0
1.1,1.4,1060.0
1.1,1.5,1114.5
1.1,1.6,1129.0
1.1,1.7000000000000002,1154.5
1.1,1.8,956.5
1.1,1.9000000000000001,885.0
1.1,2.0,1030.0
1.1,2.1,-66.5
1.1,2.2,-224.0
1.1,2.3,-207.0
1.1,2.4000000000000004,-471.0
1.1,2.5,-471.0
1.2000000000000002,0.5,1345.5
1.2000000000000002,0.6,1211.5
1.2000000000000002,0.7,1278.0
1.2000000000000002,0.8,1348.0
1.2000000000000002,0.9,1414.5
1.2000000000000002,1.0,1525.5
1.2000000000000002,1.1,1139.0
1.2000000000000002,1.2000000000000002,1219.0
1.2000000000000002,1.3,1222.0
1.2000000000000002,1.4,1140.0
1.2000000000000002,1.5,1194.5
1.2000000000000002,1.6,1209.0
1.2000000000000002,1.7000000000000002,1234.5
1.2000000000000002,1.8,1036.5
1.2000000000000002,1.9000000000000001,965.0
1.2000000000000002,2.0,1110.0
1.2000000000000002,2.1,-44.5
1.2000000000000002,2.2,-202.0
1.2000000000000002,2.3,-185.0
1.2000000000000002,2.4000000000000004,-466.0
1.2000000000000002,2.5,-466.0
1.3,0.5,1202.0
1.3,0.6,1304.0
1.3,0.7,1370.5
1.3,0.8,1440.5
1.3,0.9,1507.0
1.3,1.0,1618.0
1.3,1.1,1202.0
1.3,1.2000000000000002,1282.0
1.3,1.3,1285.0
1.3,1.4,1203.0
1.3,1.5,1257.5
1.3,1.6,1272.0
1.3,1.7000000000000002,1297.5
1.3,1.8,1099.5
1.3,1.9000000000000001,1028.0
1.3,2.0,1173.0
1.3,2.1,-15.5
1.3,2.2,-173.0
1.3,2.3,-156.0
1.3,2.4000000000000004,-444.0
1.3,2.5,-444.0
1.4,0.5,1035.0
1.4,0.6,1129.0
1.4,0.7,1178.5
1.4,0.8,1214.5
1.4,0.9,1269.0
1.4,1.0,1397.0
1.4,1.1,1278.0
1.4,1.2000000000000002,1358.0
1.4,1.3,1361.0
1.4,1.4,1279.0
1.4,1.5,1333.5
1.4,1.6,1348.0
1.4,1.7000000000000002,1373.5
1.4,1.8,1175.5
1.4,1.9000000000000001,1104.0
1.4,2.0,1249.0
1.4,2.1,7.5
1.4,2.2,-150.0
1.4,2.3,-133.0
1.4,2.4000000000000004,-440.0
1.4,2.5,-440.0
1.5,0.5,706.0
1.5,0.6,794.0
1.5,0.7,824.5
1.5,0.8,844.5
1.5,0.9,867.0
1.5,1.0,1013.0
1.5,1.1,1208.0
1.5,1.2000000000000002,1288.0
1.5,1.3,1291.0
1.5,1.4,1209.0
1.5,1.5,1263.5
1.5,1.6,1278.0
1.5,1.7000000000000002,1303.5
1.5,1.8,1105.5
1.5,1.9000000000000001,1034.0
1.5,2.0,1179.0
1.5,2.1,25.5
1.5,2.2,-132.0
1.5,2.3,-115.0
1.5,2.4000000000000004,-424.5
1.5,2.5,-424.5
1.6,0.5,740.5
1.6,0.6,828.5
1.6,0.7,859.0
1.6,0.8,879.0
1.6,0.9,901.5
1.6,1.0,1047.5
1.6,1.1,1242.5
1.6,1.2000000000000002,1322.5
1.6,1.3,1325.5
1.6,1.4,1243.5
1.6,1.5,1298.0
1.6,1.6,1312.5
1.6,1.7000000000000002,1338.0
1.6,1.8,1140.0
1.6,1.9000000000000001,1068.5
1.6,2.0,1213.5
1.6,2.1,32.0
1.6,2.2,-125.5
1.6,2.3,-108.5
1.6,2.4000000000000004,-424.5
1.6,2.5,-424.5
1.7000000000000002,0.5,792.5
1.7000000000000002,0.6,880.5
1.7000000000000002,0.7,911.0
1.7000000000000002,0.8,931.0
1.7000000000000002,0.9,953.5
1.7000000000000002,1.0,1099.5
1.7000000000000002,1.1,1294.5
1.7000000000000002,1.2000000000000002,1374.5
1.7000000000000002,1.3,1377.5
1.7000000000000002,1.4,1295.5
1.7000000000000002,1.5,1350.0
1.7000000000000002,1.6,1364.5
