window,band_width,total_profit,trades,avg_profit,win_rate
8,1.0999999999999999,-638.0,132,-4.833333333333333,0.2878787878787879
8,1.1999999999999997,-648.0,128,-5.0625,0.2578125
8,1.2999999999999998,-570.0,125,-4.56,0.232
8,1.4,-606.0,119,-5.092436974789916,0.19327731092436976
8,1.4999999999999998,-548.0,112,-4.892857142857143,0.1875
8,1.5999999999999996,-486.0,101,-4.811881188118812,0.19801980198019803
8,1.6999999999999997,-453.0,88,-5.1477272727272725,0.18181818181818182
8,1.7999999999999998,-476.0,73,-6.52054794520548,0.136986301369863
8,1.8999999999999997,-281.0,53,-5.30188679245283,0.1509433962264151
9,0.5,-427.0,92,-4.641304347826087,0.2826086956521739
9,0.6,-696.0,110,-6.327272727272727,0.3
9,0.7,-701.0,123,-5.699186991869919,0.2926829268292683
9,0.7999999999999999,-664.0,125,-5.312,0.288
9,0.8999999999999999,-648.0,133,-4.87218045112782,0.3233082706766917
9,0.9999999999999999,-633.0,132,-4.795454545454546,0.3106060606060606
9,1.0999999999999999,-581.0,130,-4.469230769230769,0.3153846153846154
9,1.1999999999999997,-561.0,125,-4.488,0.28
9,1.2999999999999998,-572.0,122,-4.688524590163935,0.27049180327868855
9,1.4,-581.0,118,-4.923728813559322,0.211864406779661
9,1.4999999999999998,-586.0,110,-5.327272727272727,0.18181818181818182
9,1.5999999999999996,-559.0,101,-5.534653465346534,0.16831683168316833
9,1.6999999999999997,-488.0,89,-5.48314606741573,0.15730337078651685
9,1.7999999999999998,-486.0,82,-5.926829268292683,0.15853658536585366
9,1.8999999999999997,-444.0,64,-6.9375,0.125
10,0.5,-627.0,99,-6.333333333333333,0.30303030303030304
10,0.6,-661.0,110,-6.009090909090909,0.3090909090909091
10,0.7,-803.0,121,-6.636363636363637,0.2809917355371901
10,0.7999999999999999,-732.0,129,-5.674418604651163,0.2713178294573643
10,0.8999999999999999,-653.0,129,-5.062015503875969,0.2868217054263566
10,0.9999999999999999,-631.0,132,-4.78030303030303,0.3106060606060606
10,1.0999999999999999,-601.0,131,-4.587786259541985,0.31297709923664124
10,1.1999999999999997,-592.0,125,-4.736,0.304
10,1.2999999999999998,-531.0,120,-4.425,0.2916666666666667
10,1.4,-559.0,117,-4.777777777777778,0.23931623931623933
10,1.4999999999999998,-558.0,109,-5.1192660550458715,0.2018348623853211
10,1.5999999999999996,-536.0,95,-5.6421052631578945,0.15789473684210525
10,1.6999999999999997,-588.0,85,-6.91764705882353,0.12941176470588237
10,1.7999999999999998,-476.0,76,-6.2631578947368425,0.13157894736842105
10,1.8999999999999997,-383.0,62,-6.17741935483871,0.14516129032258066
11,0.5,-535.0,104,-5.144230769230769,0.33653846153846156
11,0.6,-614.0,115,-5.339130434782609,0.28695652173913044
11,0.7,-705.0,119,-5.92436974789916,0.29411764705882354
11,0.7999999999999999,-625.0,124,-5.040322580645161,0.31451612903225806
11,0.8999999999999999,-581.0,130,-4.469230769230769,0.3076923076923077
11,0.9999999999999999,-598.0,125,-4.784,0.296
11,1.0999999999999999,-597.0,125,-4.776,0.304
11,1.1999999999999997,-596.0,118,-5.0508474576271185,0.288135593220339
11,1.2999999999999998,-604.0,116,-5.206896551724138,0.28448275862068967
11,1.4,-489.0,115,-4.252173913043478,0.2782608695652174
11,1.4999999999999998,-497.0,108,-4.601851851851852,0.23148148148148148
11,1.5999999999999996,-651.0,99,-6.575757575757576,0.16161616161616163
11,1.6999999999999997,-639.0,88,-7.261363636363637,0.125
11,1.7999999999999998,-540.0,78,-6.923076923076923,0.14102564102564102
11,1.8999999999999997,-454.0,70,-6.485714285714286,0.14285714285714285
12,0.5,-482.0,104,-4.634615384615385,0.34615384615384615
12,0.6,-620.0,114,-5.43859649122807,0.2807017543859649
12,0.7,-581.0,115,-5.052173913043478,0.2956521739130435
12,0.7999999999999999,-650.0,123,-5.284552845528455,0.3008130081300813
12,0.8999999999999999,-578.0,125,-4.624,0.288
12,0.9999999999999999,-506.0,124,-4.080645161290323,0.29838709677419356
12,1.0999999999999999,-553.0,125,-4.424,0.304
12,1.1999999999999997,-555.0,122,-4.549180327868853,0.29508196721311475
12,1.2999999999999998,-501.0,122,-4.10655737704918,0.29508196721311475
12,1.4,-587.0,114,-5.149122807017544,0.2807017543859649
12,1.4999999999999998,-651.0,111,-5.864864864864865,0.23423423423423423
12,1.5999999999999996,-627.0,104,-6.028846153846154,0.19230769230769232
12,1.6999999999999997,-613.0,92,-6.663043478260869,0.13043478260869565
12,1.7999999999999998,-517.0,77,-6.714285714285714,0.12987012987012986
12,1.8999999999999997,-467.0,68,-6.867647058823529,0.14705882352941177
13,0.5,-555.0,104,-5.336538461538462,0.3173076923076923
13,0.6,-526.0,115,-4.573913043478261,0.3217391304347826
13,0.7,-614.0,121,-5.074380165289257,0.2892561983471074
13,0.7999999999999999,-627.0,118,-5.313559322033898,0.2627118644067797
13,0.8999999999999999,-684.0,123,-5.560975609756097,0.2764227642276423
13,0.9999999999999999,-539.0,119,-4.529411764705882,0.2857142857142857
13,1.0999999999999999,-562.0,119,-4.722689075630252,0.29411764705882354
13,1.1999999999999997,-647.0,122,-5.30327868852459,0.28688524590163933
13,1.2999999999999998,-579.0,120,-4.825,0.275
13,1.4,-667.0,118,-5.6525423728813555,0.2542372881355932
13,1.4999999999999998,-699.0,114,-6.131578947368421,0.22807017543859648
13,1.5999999999999996,-636.0,105,-6.057142857142857,0.21904761904761905
13,1.6999999999999997,-622.0,95,-6.5473684210526315,0.17894736842105263
13,1.7999999999999998,-551.0,84,-6.559523809523809,0.13095238095238096
13,1.8999999999999997,-397.0,66,-6.015151515151516,0.15151515151515152
14,0.5,-581.0,96,-6.052083333333333,0.3229166666666667
14,0.6,-586.0,109,-5.376146788990826,0.30275229357798167
14,0.7,-641.0,121,-5.297520661157025,0.2809917355371901
14,0.7999999999999999,-670.0,118,-5.677966101694915,0.2627118644067797
14,0.8999999999999999,-726.0,117,-6.205128205128205,0.28205128205128205
14,0.9999999999999999,-566.0,123,-4.6016260162601625,0.3008130081300813
14,1.0999999999999999,-540.0,126,-4.285714285714286,0.2777777777777778
14,1.1999999999999997,-658.0,129,-5.10077519379845,0.2713178294573643
14,1.2999999999999998,-697.0,121,-5.760330578512397,0.2644628099173554
14,1.4,-680.0,119,-5.714285714285714,0.2689075630252101
14,1.4999999999999998,-686.0,110,-6.236363636363636,0.23636363636363636
14,1.5999999999999996,-586.0,105,-5.580952380952381,0.23809523809523808
14,1.6999999999999997,-599.0,96,-6.239583333333333,0.1875
14,1.7999999999999998,-544.0,87,-6.252873563218391,0.14942528735632185
14,1.8999999999999997,-463.0,75,-6.173333333333333,0.14666666666666667
15,0.5,-600.0,94,-6.382978723404255,0.32978723404255317
15,0.6,-486.0,108,-4.5,0.32407407407407407
15,0.7,-675.0,116,-5.818965517241379,0.28448275862068967
15,0.7999999999999999,-608.0,125,-4.864,0.272
15,0.8999999999999999,-622.0,120,-5.183333333333334,0.25833333333333336
15,0.9999999999999999,-594.0,127,-4.677165354330708,0.28346456692913385
15,1.0999999999999999,-562.0,127,-4.425196850393701,0.29133858267716534
15,1.1999999999999997,-637.0,134,-4.753731343283582,0.27611940298507465
15,1.2999999999999998,-770.0,122,-6.311475409836065,0.26229508196721313
15,1.4,-655.0,114,-5.745614035087719,0.2631578947368421
15,1.4999999999999998,-679.0,114,-5.956140350877193,0.2543859649122807
15,1.5999999999999996,-618.0,105,-5.885714285714286,0.23809523809523808
15,1.6999999999999997,-578.0,96,-6.020833333333333,0.20833333333333334
15,1.7999999999999998,-558.0,90,-6.2,0.18888888888888888
15,1.8999999999999997,-456.0,80,-5.7,0.15
16,0.5,-528.0,97,-5.443298969072165,0.29896907216494845
16,0.6,-456.0,107,-4.261682242990654,0.2897196261682243
16,0.7,-481.0,119,-4.042016806722689,0.31092436974789917
16,0.7999999999999999,-627.0,123,-5.097560975609756,0.2764227642276423
16,0.8999999999999999,-664.0,124,-5.354838709677419,0.2661290322580645
16,0.9999999999999999,-682.0,127,-5.3700787401574805,0.2755905511811024
16,1.0999999999999999,-567.0,129,-4.395348837209302,0.29457364341085274
16,1.1999999999999997,-641.0,133,-4.819548872180451,0.3007518796992481
16,1.2999999999999998,-643.0,125,-5.144,0.296
16,1.4,-654.0,117,-5.589743589743589,0.26495726495726496
16,1.4999999999999998,-660.0,115,-5.739130434782608,0.2608695652173913
16,1.5999999999999996,-606.0,107,-5.663551401869159,0.24299065420560748
16,1.6999999999999997,-579.0,101,-5.732673267326732,0.21782178217821782
16,1.7999999999999998,-520.0,93,-5.591397849462366,0.20430107526881722
16,1.8999999999999997,-480.0,79,-6.075949367088608,0.16455696202531644
17,0.5,-399.0,95,-4.2,0.3157894736842105
17,0.6,-411.0,106,-3.8773584905660377,0.3018867924528302
17,0.7,-545.0,117,-4.6581196581196584,0.29914529914529914
17,0.7999999999999999,-596.0,123,-4.845528455284553,0.2926829268292683
17,0.8999999999999999,-697.0,130,-5.361538461538461,0.2846153846153846
17,0.9999999999999999,-670.0,131,-5.114503816793893,0.2824427480916031
17,1.0999999999999999,-590.0,130,-4.538461538461538,0.3076923076923077
17,1.1999999999999997,-611.0,132,-4.628787878787879,0.3106060606060606
17,1.2999999999999998,-706.0,129,-5.4728682170542635,0.2868217054263566
17,1.4,-679.0,122,-5.565573770491803,0.28688524590163933
17,1.4999999999999998,-649.0,114,-5.692982456140351,0.2631578947368421
17,1.5999999999999996,-642.0,115,-5.582608695652174,0.24347826086956523
17,1.6999999999999997,-584.0,102,-5.7254901960784315,0.22549019607843138
17,1.7999999999999998,-483.0,89,-5.426966292134831,0.21348314606741572
17,1.8999999999999997,-465.0,82,-5.670731707317073,0.14634146341463414
18,0.5,-328.0,95,-3.4526315789473685,0.3368421052631579
