window,z_entry,z_exit,total_profit,trades,avg_profit,win_rate
5,1.0,0.9,-532.0,132,-4.03030303030303,0.32575757575757575
5,1.2,0.1,-351.0,24,-14.625,0.3333333333333333
5,1.2,0.3,-361.0,57,-6.333333333333333,0.3508771929824561
5,1.2,0.5,-346.0,81,-4.271604938271605,0.2962962962962963
5,1.2,0.7,-433.0,102,-4.245098039215686,0.30392156862745096
5,1.2,0.9,-571.0,117,-4.880341880341881,0.2905982905982906
5,1.4,0.1,-257.0,21,-12.238095238095237,0.2857142857142857
5,1.4,0.3,-309.0,51,-6.0588235294117645,0.35294117647058826
5,1.4,0.5,-284.0,69,-4.115942028985507,0.30434782608695654
5,1.4,0.7,-337.0,83,-4.0602409638554215,0.3253012048192771
5,1.4,0.9,-502.0,95,-5.28421052631579,0.3157894736842105
5,1.6,0.1,-113.0,17,-6.647058823529412,0.4117647058823529
5,1.6,0.3,-246.0,39,-6.3076923076923075,0.3076923076923077
5,1.6,0.5,-206.0,44,-4.681818181818182,0.3181818181818182
5,1.6,0.7,-226.0,50,-4.52,0.28
5,1.6,0.9,-272.0,54,-5.037037037037037,0.25925925925925924
5,1.8,0.1,0.0,0,0.0,0.0
5,1.8,0.3,0.0,0,0.0,0.0
5,1.8,0.5,0.0,0,0.0,0.0
5,1.8,0.7,0.0,0,0.0,0.0
5,1.8,0.9,0.0,0,0.0,0.0
5,2.0,0.1,0.0,0,0.0,0.0
5,2.0,0.3,0.0,0,0.0,0.0
5,2.0,0.5,0.0,0,0.0,0.0
5,2.0,0.7,0.0,0,0.0,0.0
5,2.0,0.9,0.0,0,0.0,0.0
5,2.2,0.1,0.0,0,0.0,0.0
5,2.2,0.3,0.0,0,0.0,0.0
5,2.2,0.5,0.0,0,0.0,0.0
5,2.2,0.7,0.0,0,0.0,0.0
5,2.2,0.9,0.0,0,0.0,0.0
5,2.4,0.1,0.0,0,0.0,0.0
5,2.4,0.3,0.0,0,0.0,0.0
5,2.4,0.5,0.0,0,0.0,0.0
5,2.4,0.7,0.0,0,0.0,0.0
5,2.4,0.9,0.0,0,0.0,0.0
6,0.8,0.1,-162.0,15,-10.8,0.4
6,0.8,0.3,-105.0,58,-1.8103448275862069,0.39655172413793105
6,0.8,0.5,-516.0,95,-5.431578947368421,0.3368421052631579
6,0.8,0.7,-475.0,118,-4.02542372881356,0.3135593220338983
6,0.8,0.9,-595.0,137,-4.343065693430657,0.30656934306569344
6,1.0,0.1,-168.0,15,-11.2,0.4
6,1.0,0.3,-195.0,57,-3.4210526315789473,0.3684210526315789
6,1.0,0.5,-502.0,92,-5.456521739130435,0.32608695652173914
6,1.0,0.7,-438.0,111,-3.945945945945946,0.3063063063063063
6,1.0,0.9,-552.0,127,-4.346456692913386,0.30708661417322836
6,1.2,0.1,-149.0,14,-10.642857142857142,0.35714285714285715
6,1.2,0.3,-374.0,54,-6.925925925925926,0.2777777777777778
6,1.2,0.5,-584.0,87,-6.712643678160919,0.28735632183908044
6,1.2,0.7,-489.0,102,-4.794117647058823,0.28431372549019607
6,1.2,0.9,-615.0,110,-5.590909090909091,0.2727272727272727
6,1.4,0.1,-48.0,13,-3.6923076923076925,0.38461538461538464
6,1.4,0.3,-352.0,46,-7.6521739130434785,0.21739130434782608
6,1.4,0.5,-426.0,79,-5.3924050632911396,0.2911392405063291
6,1.4,0.7,-486.0,88,-5.5227272727272725,0.2727272727272727
6,1.4,0.9,-634.0,94,-6.74468085106383,0.23404255319148937
6,1.6,0.1,-64.0,12,-5.333333333333333,0.3333333333333333
6,1.6,0.3,-267.0,38,-7.026315789473684,0.2894736842105263
6,1.6,0.5,-292.0,58,-5.0344827586206895,0.3448275862068966
6,1.6,0.7,-347.0,67,-5.17910447761194,0.31343283582089554
6,1.6,0.9,-375.0,72,-5.208333333333333,0.2638888888888889
6,1.8,0.1,-62.0,11,-5.636363636363637,0.2727272727272727
6,1.8,0.3,-207.0,29,-7.137931034482759,0.27586206896551724
6,1.8,0.5,-229.0,35,-6.542857142857143,0.2571428571428571
6,1.8,0.7,-252.0,38,-6.631578947368421,0.2894736842105263
6,1.8,0.9,-260.0,39,-6.666666666666667,0.20512820512820512
6,2.0,0.1,41.0,2,20.5,0.5
6,2.0,0.3,-7.0,2,-3.5,0.0
6,2.0,0.5,-15.0,2,-7.5,0.0
6,2.0,0.7,-15.0,2,-7.5,0.0
6,2.0,0.9,-15.0,2,-7.5,0.0
6,2.2,0.1,0.0,0,0.0,0.0
6,2.2,0.3,0.0,0,0.0,0.0
6,2.2,0.5,0.0,0,0.0,0.0
6,2.2,0.7,0.0,0,0.0,0.0
6,2.2,0.9,0.0,0,0.0,0.0
6,2.4,0.1,0.0,0,0.0,0.0
6,2.4,0.3,0.0,0,0.0,0.0
6,2.4,0.5,0.0,0,0.0,0.0
6,2.4,0.7,0.0,0,0.0,0.0
6,2.4,0.9,0.0,0,0.0,0.0
7,0.8,0.1,13.0,23,0.5652173913043478,0.4782608695652174
7,0.8,0.3,-101.0,48,-2.1041666666666665,0.3958333333333333
7,0.8,0.5,-323.0,88,-3.6704545454545454,0.3068181818181818
7,0.8,0.7,-362.0,111,-3.2612612612612613,0.35135135135135137
7,0.8,0.9,-429.0,130,-3.3,0.33076923076923076
7,1.0,0.1,-184.0,23,-8.0,0.391304347826087
7,1.0,0.3,-364.0,48,-7.583333333333333,0.3125
7,1.0,0.5,-470.0,85,-5.529411764705882,0.2823529411764706
7,1.0,0.7,-553.0,105,-5.266666666666667,0.3047619047619048
7,1.0,0.9,-619.0,122,-5.073770491803279,0.29508196721311475
7,1.2,0.1,-146.0,23,-6.3478260869565215,0.391304347826087
7,1.2,0.3,-373.0,47,-7.9361702127659575,0.2978723404255319
7,1.2,0.5,-392.0,80,-4.9,0.3125
7,1.2,0.7,-496.0,97,-5.11340206185567,0.29896907216494845
7,1.2,0.9,-547.0,112,-4.883928571428571,0.2767857142857143
7,1.4,0.1,-166.0,23,-7.217391304347826,0.391304347826087
7,1.4,0.3,-314.0,44,-7.136363636363637,0.2727272727272727
7,1.4,0.5,-363.0,74,-4.905405405405405,0.28378378378378377
7,1.4,0.7,-401.0,90,-4.455555555555556,0.2777777777777778
7,1.4,0.9,-479.0,101,-4.742574257425742,0.24752475247524752
7,1.6,0.1,-144.0,21,-6.857142857142857,0.42857142857142855
7,1.6,0.3,-252.0,41,-6.146341463414634,0.2926829268292683
7,1.6,0.5,-302.0,65,-4.6461538461538465,0.2923076923076923
7,1.6,0.7,-351.0,77,-4.558441558441558,0.2857142857142857
7,1.6,0.9,-408.0,84,-4.857142857142857,0.2261904761904762
7,1.8,0.1,-149.0,21,-7.095238095238095,0.3333333333333333
7,1.8,0.3,-258.0,31,-8.32258064516129,0.2903225806451613
7,1.8,0.5,-241.0,42,-5.738095238095238,0.2857142857142857
7,1.8,0.7,-297.0,48,-6.1875,0.2708333333333333
7,1.8,0.9,-267.0,52,-5.134615384615385,0.25
7,2.0,0.1,-65.0,14,-4.642857142857143,0.35714285714285715
7,2.0,0.3,-186.0,16,-11.625,0.1875
7,2.0,0.5,-64.0,17,-3.764705882352941,0.29411764705882354
7,2.0,0.7,-67.0,19,-3.526315789473684,0.3157894736842105
7,2.0,0.9,-117.0,19,-6.157894736842105,0.21052631578947367
7,2.2,0.1,-5.0,1,-5.0,0.0
7,2.2,0.3,-5.0,1,-5.0,0.0
7,2.2,0.5,-5.0,1,-5.0,0.0
7,2.2,0.7,-5.0,1,-5.0,0.0
7,2.2,0.9,-5.0,1,-5.0,0.0
7,2.4,0.1,0.0,0,0.0,0.0
7,2.4,0.3,0.0,0,0.0,0.0
7,2.4,0.5,0.0,0,0.0,0.0
7,2.4,0.7,0.0,0,0.0,0.0
7,2.4,0.9,0.0,0,0.0,0.0
8,0.8,0.1,-126.0,21,-6.0,0.38095238095238093
8,0.8,0.3,-59.0,59,-1.0,0.3898305084745763
8,0.8,0.5,-200.0,86,-2.3255813953488373,0.3372093023255814
8,0.8,0.7,-420.0,115,-3.652173913043478,0.30434782608695654
8,0.8,0.9,-548.0,140,-3.914285714285714,0.3142857142857143
8,1.0,0.1,-12.0,21,-0.5714285714285714,0.42857142857142855
8,1.0,0.3,-63.0,56,-1.125,0.4107142857142857
8,1.0,0.5,-219.0,80,-2.7375,0.3375
8,1.0,0.7,-484.0,105,-4.609523809523809,0.26666666666666666
8,1.0,0.9,-558.0,125,-4.464,0.288
8,1.2,0.1,-183.0,21,-8.714285714285714,0.3333333333333333
8,1.2,0.3,-256.0,52,-4.923076923076923,0.34615384615384615
8,1.2,0.5,-344.0,76,-4.526315789473684,0.3026315789473684
8,1.2,0.7,-553.0,99,-5.585858585858586,0.2222222222222222
8,1.2,0.9,-598.0,116,-5.155172413793103,0.25862068965517243
8,1.4,0.1,-212.0,21,-10.095238095238095,0.3333333333333333
8,1.4,0.3,-361.0,49,-7.36734693877551,0.24489795918367346
8,1.4,0.5,-307.0,68,-4.514705882352941,0.25
8,1.4,0.7,-413.0,85,-4.858823529411764,0.21176470588235294
8,1.4,0.9,-483.0,99,-4.878787878787879,0.2222222222222222
8,1.6,0.1,-208.0,21,-9.904761904761905,0.3333333333333333
8,1.6,0.3,-333.0,46,-7.239130434782608,0.2391304347826087
8,1.6,0.5,-288.0,61,-4.721311475409836,0.2786885245901639
8,1.6,0.7,-361.0,74,-4.878378378378378,0.21621621621621623
8,1.6,0.9,-454.0,84,-5.404761904761905,0.2261904761904762
8,1.8,0.1,-151.0,21,-7.190476190476191,0.42857142857142855
8,1.8,0.3,-334.0,39,-8.564102564102564,0.23076923076923078
8,1.8,0.5,-289.0,44,-6.568181818181818,0.22727272727272727
8,1.8,0.7,-325.0,54,-6.018518518518518,0.18518518518518517
8,1.8,0.9,-391.0,60,-6.516666666666667,0.18333333333333332
8,2.0,0.1,-269.0,16,-16.8125,0.3125
8,2.0,0.3,-214.0,22,-9.727272727272727,0.18181818181818182
8,2.0,0.5,-211.0,24,-8.791666666666666,0.20833333333333334
8,2.0,0.7,-222.0,26,-8.538461538461538,0.15384615384615385
8,2.0,0.9,-156.0,30,-5.2,0.2
8,2.2,0.1,-113.0,9,-12.555555555555555,0.3333333333333333
8,2.2,0.3,-146.0,10,-14.6,0.1
8,2.2,0.5,-124.0,9,-13.777777777777779,0.1111111111111111
8,2.2,0.7,-80.0,10,-8.0,0.1
8,2.2,0.9,-89.0,10,-8.9,0.1
8,2.4,0.1,0.0,0,0.0,0.0
8,2.4,0.3,0.0,0,0.0,0.0
8,2.4,0.5,0.0,0,0.0,0.0
8,2.4,0.7,0.0,0,0.0,0.0
8,2.4,0.9,0.0,0,0.0,0.0
9,0.8,0.1,-431.0,19,-22.68421052631579,0.2631578947368421
9,0.8,0.3,-124.0,58,-2.1379310344827585,0.39655172413793105
9,0.8,0.5,-424.0,88,-4.818181818181818,0.3181818181818182
9,0.8,0.7,-623.0,118,-5.279661016949152,0.3050847457627119
9,0.8,0.9,-722.0,138,-5.231884057971015,0.30434782608695654
9,1.0,0.1,-401.0,17,-23.58823529411765,0.29411764705882354
9,1.0,0.3,-39.0,56,-0.6964285714285714,0.48214285714285715
9,1.0,0.5,-334.0,82,-4.073170731707317,0.35365853658536583
9,1.0,0.7,-540.0,107,-5.046728971962617,0.3177570093457944
9,1.0,0.9,-647.0,124,-5.217741935483871,0.3064516129032258
9,1.2,0.1,-148.0,17,-8.705882352941176,0.4117647058823529
9,1.2,0.3,-131.0,53,-2.4716981132075473,0.4339622641509434
9,1.2,0.5,-265.0,76,-3.486842105263158,0.35526315789473684
9,1.2,0.7,-468.0,97,-4.824742268041237,0.28865979381443296
9,1.2,0.9,-594.0,115,-5.165217391304348,0.28695652173913044
9,1.4,0.1,-161.0,16,-10.0625,0.375
9,1.4,0.3,-158.0,48,-3.2916666666666665,0.3541666666666667
9,1.4,0.5,-250.0,68,-3.676470588235294,0.29411764705882354
9,1.4,0.7,-494.0,83,-5.951807228915663,0.21686746987951808
9,1.4,0.9,-585.0,98,-5.969387755102041,0.21428571428571427
9,1.6,0.1,-130.0,16,-8.125,0.375
9,1.6,0.3,-135.0,43,-3.13953488372093,0.3488372093023256
9,1.6,0.5,-186.0,60,-3.1,0.3
9,1.6,0.7,-412.0,72,-5.722222222222222,0.19444444444444445
9,1.6,0.9,-527.0,83,-6.349397590361446,0.20481927710843373
9,1.8,0.1,-177.0,15,-11.8,0.3333333333333333
9,1.8,0.3,-319.0,39,-8.179487179487179,0.2564102564102564
9,1.8,0.5,-491.0,52,-9.442307692307692,0.23076923076923078
9,1.8,0.7,-563.0,59,-9.542372881355933,0.15254237288135594
9,1.8,0.9,-605.0,68,-8.897058823529411,0.16176470588235295
