window,band_width,total_profit,trades,avg_profit,win_rate
15,2.4000000000000012,398.5,550,0.7245454545454545,0.7127272727272728
15,2.5000000000000013,302.5,418,0.7236842105263158,0.6866028708133971
15,2.6000000000000014,219.5,281,0.7811387900355872,0.697508896797153
15,2.7000000000000015,158.0,195,0.8102564102564103,0.6871794871794872
15,2.8000000000000016,158.5,131,1.2099236641221374,0.7404580152671756
15,2.9000000000000017,109.0,82,1.329268292682927,0.6829268292682927
15,3.0000000000000018,79.0,49,1.6122448979591837,0.6530612244897959
16,1.0,2261.5,4253,0.5317422995532565,0.8041382553491653
16,1.1,2359.0,4155,0.5677496991576414,0.8043321299638989
16,1.2000000000000002,2400.5,3994,0.6010265398097145,0.8107160741111668
16,1.3000000000000003,2368.5,3830,0.6184073107049608,0.8023498694516972
16,1.4000000000000004,2206.0,3566,0.6186203028603477,0.7919237240605721
16,1.5000000000000004,2036.0,3273,0.6220592728383746,0.7901008249312558
16,1.6000000000000005,1890.5,2906,0.6505505849965588,0.791465932553338
16,1.7000000000000006,1662.5,2553,0.6511946729338034,0.7845671758715237
16,1.8000000000000007,1439.5,2183,0.6594136509390747,0.7842418689876317
16,1.9000000000000008,1185.5,1826,0.6492332968236583,0.7776560788608982
16,2.000000000000001,1006.5,1514,0.6647952443857331,0.7681638044914135
16,2.100000000000001,757.0,1206,0.6276948590381426,0.7454394693200663
16,2.200000000000001,664.5,991,0.670534813319879,0.7295660948536832
16,2.300000000000001,539.5,798,0.6760651629072681,0.7243107769423559
16,2.4000000000000012,428.0,600,0.7133333333333334,0.72
16,2.5000000000000013,324.5,434,0.7476958525345622,0.7142857142857143
16,2.6000000000000014,220.5,323,0.6826625386996904,0.6811145510835913
16,2.7000000000000015,158.0,230,0.6869565217391305,0.6956521739130435
16,2.8000000000000016,141.0,158,0.8924050632911392,0.7025316455696202
16,2.9000000000000017,133.0,106,1.2547169811320755,0.7075471698113207
16,3.0000000000000018,77.5,57,1.3596491228070176,0.6491228070175439
17,1.0,2207.0,4136,0.5336073500967118,0.8029497098646035
17,1.1,2305.0,4051,0.5689953098000494,0.803011602073562
17,1.2000000000000002,2368.0,3954,0.5988872028325746,0.812089023773394
17,1.3000000000000003,2306.0,3758,0.6136242682277807,0.805747738158595
17,1.4000000000000004,2148.0,3501,0.6135389888603257,0.7963439017423594
17,1.5000000000000004,1979.0,3222,0.6142147734326505,0.7877094972067039
17,1.6000000000000005,1872.0,2900,0.6455172413793103,0.7910344827586206
17,1.7000000000000006,1721.0,2565,0.6709551656920077,0.7906432748538011
17,1.8000000000000007,1419.0,2170,0.6539170506912443,0.7797235023041474
17,1.9000000000000008,1186.0,1865,0.6359249329758713,0.7801608579088471
17,2.000000000000001,966.5,1525,0.6337704918032787,0.7665573770491804
17,2.100000000000001,793.0,1244,0.637459807073955,0.75
17,2.200000000000001,652.5,1009,0.6466798810703667,0.7333994053518335
17,2.300000000000001,542.5,809,0.6705809641532756,0.7194066749072929
17,2.4000000000000012,417.5,612,0.6821895424836601,0.7271241830065359
17,2.5000000000000013,317.5,447,0.7102908277404921,0.7203579418344519
17,2.6000000000000014,245.5,332,0.7394578313253012,0.6927710843373494
17,2.7000000000000015,184.0,254,0.7244094488188977,0.6771653543307087
17,2.8000000000000016,134.5,181,0.7430939226519337,0.6795580110497238
17,2.9000000000000017,111.5,119,0.9369747899159664,0.6974789915966386
17,3.0000000000000018,107.0,78,1.3717948717948718,0.7051282051282052
18,1.0,2152.0,4057,0.5304412127187577,0.808479171801824
